Topic,Keywords
1,"council, water, plan, rural, national, news, new, group, residents, minister"
2,"high, fight, market, inquiry, community, pay, rise, bushfire, mayor, housing"
3,"day, calls, guilty, police, second, missing, east, search, party, workers"
4,"australia, world, win, cup, new, melbourne, test, time, return, league"
5,"death, gold, trump, coast, takes, tasmania, island, png, year, teen"
6,"government, china, north, killed, talks, australian, years, says, west, deal"
7,"man, court, charged, murder, police, queensland, accused, trial, face, woman"
8,"police, crash, interview, car, dies, man, abc, hit, house, probe"
9,"health, funding, final, boost, country, business, change, victoria, push, jobs"
10,"election, labor, canberra, budget, federal, afl, new, says, cut, power"
