Cluster,Size,TopTerms
Topic A,2403,"water, rain, drought, flood, weather, cyclone, storm, floods"
Topic B,4718,"new, farmers, cattle, rural, indigenous, wa, farm, search"
Topic C,4488,"council, election, govt, government, mp, says, minister, labor"
Topic D,1399,"coronavirus, covid, vaccine, cases, flu, outbreak, quarantine, victoria"
Topic E,3879,"iraq, china, trump, says, korea, iran, war, attack"
Topic F,1354,"bushfire, blaze, fires, house, firefighters, bushfires, arson, destroys"
Topic G,3072,"crash, death, dies, killed, dead, man, car, police"
Topic H,4991,"market, price, industry, business, budget, pay, new, deal"
Topic I,4660,"australia, australian, sydney, nsw, melbourne, queensland, adelaide, canberra"
Topic J,4911,"interview, speaks, abc, news, drum, new, talks, country"
Topic K,3450,"health, hospital, school, care, new, doctors, cancer, funding"
Topic L,5248,"win, cup, wins, world, final, england, league, open"
Topic M,5416,"police, man, court, charged, murder, charges, accused, guilty"
