week,semantic_velocity
2003-02-24/2003-03-02,0.04560571908950806
2003-03-03/2003-03-09,0.044135212898254395
2003-03-10/2003-03-16,0.04215896129608154
2003-03-17/2003-03-23,0.11481010913848877
2003-03-24/2003-03-30,0.044247448444366455
2003-03-31/2003-04-06,0.041218340396881104
2003-04-07/2003-04-13,0.04336190223693848
2003-04-14/2003-04-20,0.05016815662384033
2003-04-21/2003-04-27,0.051528334617614746
2003-04-28/2003-05-04,0.05232369899749756
2003-05-05/2003-05-11,0.04684090614318848
2003-05-12/2003-05-18,0.050927937030792236
2003-05-19/2003-05-25,0.03920269012451172
2003-05-26/2003-06-01,0.13082921504974365
