time_bin,topic_id,proportion,bin_start,bin_end,bin_mid
"(2018-12-31 23:59:59.999999, 2019-01-29 00:00:00]",-1,0.47224558452481075,2018-12-31 23:59:59.999999,2019-01-29,2019-01-14 23:59:59.999999
"(2019-01-29 00:00:00, 2019-02-20 00:00:00]",-1,0.45149754135002235,2019-01-29 00:00:00.000000,2019-02-20,2019-02-09 00:00:00.000000
"(2019-02-20 00:00:00, 2019-03-16 00:00:00]",-1,0.4549722577891592,2019-02-20 00:00:00.000000,2019-03-16,2019-03-04 00:00:00.000000
"(2019-03-16 00:00:00, 2019-04-09 00:00:00]",-1,0.4351339855380689,2019-03-16 00:00:00.000000,2019-04-09,2019-03-28 00:00:00.000000
"(2019-04-09 00:00:00, 2019-05-03 00:00:00]",-1,0.4159719175076788,2019-04-09 00:00:00.000000,2019-05-03,2019-04-21 00:00:00.000000
"(2019-05-03 00:00:00, 2019-05-26 00:00:00]",-1,0.419482229047828,2019-05-03 00:00:00.000000,2019-05-26,2019-05-14 12:00:00.000000
"(2019-05-26 00:00:00, 2019-06-20 00:00:00]",-1,0.44289928360724823,2019-05-26 00:00:00.000000,2019-06-20,2019-06-07 12:00:00.000000
"(2019-06-20 00:00:00, 2019-07-15 00:00:00]",-1,0.408254822790489,2019-06-20 00:00:00.000000,2019-07-15,2019-07-02 12:00:00.000000
"(2019-07-15 00:00:00, 2019-08-08 00:00:00]",-1,0.45051194539249145,2019-07-15 00:00:00.000000,2019-08-08,2019-07-27 00:00:00.000000
"(2019-08-08 00:00:00, 2019-09-01 00:00:00]",-1,0.45064761054041985,2019-08-08 00:00:00.000000,2019-09-01,2019-08-20 00:00:00.000000
"(2019-09-01 00:00:00, 2019-09-25 00:00:00]",-1,0.44131658726721523,2019-09-01 00:00:00.000000,2019-09-25,2019-09-13 00:00:00.000000
"(2019-09-25 00:00:00, 2019-10-21 00:00:00]",-1,0.4226415094339623,2019-09-25 00:00:00.000000,2019-10-21,2019-10-08 00:00:00.000000
"(2019-10-21 00:00:00, 2019-11-13 00:00:00]",-1,0.4214912280701754,2019-10-21 00:00:00.000000,2019-11-13,2019-11-01 12:00:00.000000
"(2019-11-13 00:00:00, 2019-12-07 00:00:00]",-1,0.44226482389656707,2019-11-13 00:00:00.000000,2019-12-07,2019-11-25 00:00:00.000000
"(2019-12-07 00:00:00, 2020-01-08 00:00:00]",-1,0.36610169491525424,2019-12-07 00:00:00.000000,2020-01-08,2019-12-23 00:00:00.000000
"(2020-01-08 00:00:00, 2020-02-05 00:00:00]",-1,0.39525862068965517,2020-01-08 00:00:00.000000,2020-02-05,2020-01-22 00:00:00.000000
"(2020-02-05 00:00:00, 2020-02-28 00:00:00]",-1,0.4400356665180562,2020-02-05 00:00:00.000000,2020-02-28,2020-02-16 12:00:00.000000
"(2020-02-28 00:00:00, 2020-03-24 00:00:00]",-1,0.43017241379310345,2020-02-28 00:00:00.000000,2020-03-24,2020-03-11 12:00:00.000000
"(2020-03-24 00:00:00, 2020-04-17 00:00:00]",-1,0.4779764500654165,2020-03-24 00:00:00.000000,2020-04-17,2020-04-05 00:00:00.000000
"(2020-04-17 00:00:00, 2020-05-08 00:00:00]",-1,0.4456066945606695,2020-04-17 00:00:00.000000,2020-05-08,2020-04-27 12:00:00.000000
"(2020-05-08 00:00:00, 2020-05-27 00:00:00]",-1,0.4615726343847179,2020-05-08 00:00:00.000000,2020-05-27,2020-05-17 12:00:00.000000
"(2020-05-27 00:00:00, 2020-06-15 00:00:00]",-1,0.4504044274159217,2020-05-27 00:00:00.000000,2020-06-15,2020-06-05 12:00:00.000000
"(2020-06-15 00:00:00, 2020-07-03 00:00:00]",-1,0.4715378079864061,2020-06-15 00:00:00.000000,2020-07-03,2020-06-24 00:00:00.000000
"(2020-07-03 00:00:00, 2020-07-22 00:00:00]",-1,0.44855595667870035,2020-07-03 00:00:00.000000,2020-07-22,2020-07-12 12:00:00.000000
"(2020-07-22 00:00:00, 2020-08-11 00:00:00]",-1,0.4448261056247316,2020-07-22 00:00:00.000000,2020-08-11,2020-08-01 00:00:00.000000
"(2020-08-11 00:00:00, 2020-08-28 00:00:00]",-1,0.44988864142538976,2020-08-11 00:00:00.000000,2020-08-28,2020-08-19 12:00:00.000000
"(2020-08-28 00:00:00, 2020-09-17 00:00:00]",-1,0.4247603167986661,2020-08-28 00:00:00.000000,2020-09-17,2020-09-07 00:00:00.000000
"(2020-09-17 00:00:00, 2020-10-06 00:00:00]",-1,0.4081818181818182,2020-09-17 00:00:00.000000,2020-10-06,2020-09-26 12:00:00.000000
"(2020-10-06 00:00:00, 2020-10-26 00:00:00]",-1,0.40814594823928724,2020-10-06 00:00:00.000000,2020-10-26,2020-10-16 00:00:00.000000
"(2020-10-26 00:00:00, 2020-11-14 00:00:00]",-1,0.4371231696813092,2020-10-26 00:00:00.000000,2020-11-14,2020-11-04 12:00:00.000000
"(2020-11-14 00:00:00, 2020-12-03 00:00:00]",-1,0.422680412371134,2020-11-14 00:00:00.000000,2020-12-03,2020-11-23 12:00:00.000000
"(2020-12-03 00:00:00, 2020-12-24 00:00:00]",-1,0.4105263157894737,2020-12-03 00:00:00.000000,2020-12-24,2020-12-13 12:00:00.000000
"(2020-12-24 00:00:00, 2021-01-19 00:00:00]",-1,0.4433541480820696,2020-12-24 00:00:00.000000,2021-01-19,2021-01-06 00:00:00.000000
"(2021-01-19 00:00:00, 2021-02-09 00:00:00]",-1,0.41396933560477,2021-01-19 00:00:00.000000,2021-02-09,2021-01-29 12:00:00.000000
"(2021-02-09 00:00:00, 2021-02-28 00:00:00]",-1,0.3882403804582793,2021-02-09 00:00:00.000000,2021-02-28,2021-02-18 12:00:00.000000
"(2021-02-28 00:00:00, 2021-03-23 00:00:00]",-1,0.4181260945709282,2021-02-28 00:00:00.000000,2021-03-23,2021-03-11 12:00:00.000000
"(2021-03-23 00:00:00, 2021-06-08 00:00:00]",-1,0.43769129864451245,2021-03-23 00:00:00.000000,2021-06-08,2021-04-30 12:00:00.000000
"(2021-06-08 00:00:00, 2021-08-17 00:00:00]",-1,0.4140930839495433,2021-06-08 00:00:00.000000,2021-08-17,2021-07-13 00:00:00.000000
"(2021-08-17 00:00:00, 2021-10-22 00:00:00]",-1,0.4240174672489083,2021-08-17 00:00:00.000000,2021-10-22,2021-09-19 00:00:00.000000
"(2021-10-22 00:00:00, 2021-12-31 00:00:00]",-1,0.4442032132001737,2021-10-22 00:00:00.000000,2021-12-31,2021-11-26 00:00:00.000000
"(2018-12-31 23:59:59.999999, 2019-01-29 00:00:00]",0,0.0,2018-12-31 23:59:59.999999,2019-01-29,2019-01-14 23:59:59.999999
"(2019-01-29 00:00:00, 2019-02-20 00:00:00]",0,0.0013410818059901655,2019-01-29 00:00:00.000000,2019-02-20,2019-02-09 00:00:00.000000
"(2019-02-20 00:00:00, 2019-03-16 00:00:00]",0,0.0012804097311139564,2019-02-20 00:00:00.000000,2019-03-16,2019-03-04 00:00:00.000000
"(2019-03-16 00:00:00, 2019-04-09 00:00:00]",0,0.002126754572522331,2019-03-16 00:00:00.000000,2019-04-09,2019-03-28 00:00:00.000000
"(2019-04-09 00:00:00, 2019-05-03 00:00:00]",0,0.0008775778850372971,2019-04-09 00:00:00.000000,2019-05-03,2019-04-21 00:00:00.000000
"(2019-05-03 00:00:00, 2019-05-26 00:00:00]",0,0.0013163668275559457,2019-05-03 00:00:00.000000,2019-05-26,2019-05-14 12:00:00.000000
"(2019-05-26 00:00:00, 2019-06-20 00:00:00]",0,0.00042140750105351877,2019-05-26 00:00:00.000000,2019-06-20,2019-06-07 12:00:00.000000
"(2019-06-20 00:00:00, 2019-07-15 00:00:00]",0,0.0008972633467922835,2019-06-20 00:00:00.000000,2019-07-15,2019-07-02 12:00:00.000000
"(2019-07-15 00:00:00, 2019-08-08 00:00:00]",0,0.001279863481228669,2019-07-15 00:00:00.000000,2019-08-08,2019-07-27 00:00:00.000000
"(2019-08-08 00:00:00, 2019-09-01 00:00:00]",0,0.0008932559178204555,2019-08-08 00:00:00.000000,2019-09-01,2019-08-20 00:00:00.000000
"(2019-09-01 00:00:00, 2019-09-25 00:00:00]",0,0.00129926375054136,2019-09-01 00:00:00.000000,2019-09-25,2019-09-13 00:00:00.000000
"(2019-09-25 00:00:00, 2019-10-21 00:00:00]",0,0.0016771488469601676,2019-09-25 00:00:00.000000,2019-10-21,2019-10-08 00:00:00.000000
"(2019-10-21 00:00:00, 2019-11-13 00:00:00]",0,0.0008771929824561404,2019-10-21 00:00:00.000000,2019-11-13,2019-11-01 12:00:00.000000
"(2019-11-13 00:00:00, 2019-12-07 00:00:00]",0,0.0013374944271065537,2019-11-13 00:00:00.000000,2019-12-07,2019-11-25 00:00:00.000000
"(2019-12-07 00:00:00, 2020-01-08 00:00:00]",0,0.0,2019-12-07 00:00:00.000000,2020-01-08,2019-12-23 00:00:00.000000
"(2020-01-08 00:00:00, 2020-02-05 00:00:00]",0,0.0,2020-01-08 00:00:00.000000,2020-02-05,2020-01-22 00:00:00.000000
"(2020-02-05 00:00:00, 2020-02-28 00:00:00]",0,0.0013374944271065537,2020-02-05 00:00:00.000000,2020-02-28,2020-02-16 12:00:00.000000
"(2020-02-28 00:00:00, 2020-03-24 00:00:00]",0,0.0017241379310344827,2020-02-28 00:00:00.000000,2020-03-24,2020-03-11 12:00:00.000000
"(2020-03-24 00:00:00, 2020-04-17 00:00:00]",0,0.0008722197993894462,2020-03-24 00:00:00.000000,2020-04-17,2020-04-05 00:00:00.000000
"(2020-04-17 00:00:00, 2020-05-08 00:00:00]",0,0.0012552301255230125,2020-04-17 00:00:00.000000,2020-05-08,2020-04-27 12:00:00.000000
"(2020-05-08 00:00:00, 2020-05-27 00:00:00]",0,0.0013327410039982231,2020-05-08 00:00:00.000000,2020-05-27,2020-05-17 12:00:00.000000
"(2020-05-27 00:00:00, 2020-06-15 00:00:00]",0,0.0004257130693912303,2020-05-27 00:00:00.000000,2020-06-15,2020-06-05 12:00:00.000000
"(2020-06-15 00:00:00, 2020-07-03 00:00:00]",0,0.0008496176720475786,2020-06-15 00:00:00.000000,2020-07-03,2020-06-24 00:00:00.000000
"(2020-07-03 00:00:00, 2020-07-22 00:00:00]",0,0.0009025270758122744,2020-07-03 00:00:00.000000,2020-07-22,2020-07-12 12:00:00.000000
"(2020-07-22 00:00:00, 2020-08-11 00:00:00]",0,0.0012881064834693002,2020-07-22 00:00:00.000000,2020-08-11,2020-08-01 00:00:00.000000
"(2020-08-11 00:00:00, 2020-08-28 00:00:00]",0,0.0008908685968819599,2020-08-11 00:00:00.000000,2020-08-28,2020-08-19 12:00:00.000000
"(2020-08-28 00:00:00, 2020-09-17 00:00:00]",0,0.0016673614005835765,2020-08-28 00:00:00.000000,2020-09-17,2020-09-07 00:00:00.000000
"(2020-09-17 00:00:00, 2020-10-06 00:00:00]",0,0.0013636363636363637,2020-09-17 00:00:00.000000,2020-10-06,2020-09-26 12:00:00.000000
"(2020-10-06 00:00:00, 2020-10-26 00:00:00]",0,0.0012728044123886295,2020-10-06 00:00:00.000000,2020-10-26,2020-10-16 00:00:00.000000
"(2020-10-26 00:00:00, 2020-11-14 00:00:00]",0,0.0008613264427217916,2020-10-26 00:00:00.000000,2020-11-14,2020-11-04 12:00:00.000000
"(2020-11-14 00:00:00, 2020-12-03 00:00:00]",0,0.001288659793814433,2020-11-14 00:00:00.000000,2020-12-03,2020-11-23 12:00:00.000000
"(2020-12-03 00:00:00, 2020-12-24 00:00:00]",0,0.0004385964912280702,2020-12-03 00:00:00.000000,2020-12-24,2020-12-13 12:00:00.000000
"(2020-12-24 00:00:00, 2021-01-19 00:00:00]",0,0.0,2020-12-24 00:00:00.000000,2021-01-19,2021-01-06 00:00:00.000000
"(2021-01-19 00:00:00, 2021-02-09 00:00:00]",0,0.0,2021-01-19 00:00:00.000000,2021-02-09,2021-01-29 12:00:00.000000
"(2021-02-09 00:00:00, 2021-02-28 00:00:00]",0,0.0,2021-02-09 00:00:00.000000,2021-02-28,2021-02-18 12:00:00.000000
"(2021-02-28 00:00:00, 2021-03-23 00:00:00]",0,0.0,2021-02-28 00:00:00.000000,2021-03-23,2021-03-11 12:00:00.000000
"(2021-03-23 00:00:00, 2021-06-08 00:00:00]",0,0.0,2021-03-23 00:00:00.000000,2021-06-08,2021-04-30 12:00:00.000000
"(2021-06-08 00:00:00, 2021-08-17 00:00:00]",0,0.0,2021-06-08 00:00:00.000000,2021-08-17,2021-07-13 00:00:00.000000
"(2021-08-17 00:00:00, 2021-10-22 00:00:00]",0,0.0,2021-08-17 00:00:00.000000,2021-10-22,2021-09-19 00:00:00.000000
"(2021-10-22 00:00:00, 2021-12-31 00:00:00]",0,0.0,2021-10-22 00:00:00.000000,2021-12-31,2021-11-26 00:00:00.000000
"(2018-12-31 23:59:59.999999, 2019-01-29 00:00:00]",1,0.0,2018-12-31 23:59:59.999999,2019-01-29,2019-01-14 23:59:59.999999
"(2019-01-29 00:00:00, 2019-02-20 00:00:00]",1,0.0013410818059901655,2019-01-29 00:00:00.000000,2019-02-20,2019-02-09 00:00:00.000000
"(2019-02-20 00:00:00, 2019-03-16 00:00:00]",1,0.0017072129748186087,2019-02-20 00:00:00.000000,2019-03-16,2019-03-04 00:00:00.000000
"(2019-03-16 00:00:00, 2019-04-09 00:00:00]",1,0.0012760527435133986,2019-03-16 00:00:00.000000,2019-04-09,2019-03-28 00:00:00.000000
"(2019-04-09 00:00:00, 2019-05-03 00:00:00]",1,0.0008775778850372971,2019-04-09 00:00:00.000000,2019-05-03,2019-04-21 00:00:00.000000
"(2019-05-03 00:00:00, 2019-05-26 00:00:00]",1,0.0013163668275559457,2019-05-03 00:00:00.000000,2019-05-26,2019-05-14 12:00:00.000000
"(2019-05-26 00:00:00, 2019-06-20 00:00:00]",1,0.00042140750105351877,2019-05-26 00:00:00.000000,2019-06-20,2019-06-07 12:00:00.000000
"(2019-06-20 00:00:00, 2019-07-15 00:00:00]",1,0.0008972633467922835,2019-06-20 00:00:00.000000,2019-07-15,2019-07-02 12:00:00.000000
"(2019-07-15 00:00:00, 2019-08-08 00:00:00]",1,0.0017064846416382253,2019-07-15 00:00:00.000000,2019-08-08,2019-07-27 00:00:00.000000
"(2019-08-08 00:00:00, 2019-09-01 00:00:00]",1,0.0008932559178204555,2019-08-08 00:00:00.000000,2019-09-01,2019-08-20 00:00:00.000000
"(2019-09-01 00:00:00, 2019-09-25 00:00:00]",1,0.00129926375054136,2019-09-01 00:00:00.000000,2019-09-25,2019-09-13 00:00:00.000000
"(2019-09-25 00:00:00, 2019-10-21 00:00:00]",1,0.0008385744234800838,2019-09-25 00:00:00.000000,2019-10-21,2019-10-08 00:00:00.000000
"(2019-10-21 00:00:00, 2019-11-13 00:00:00]",1,0.0013157894736842105,2019-10-21 00:00:00.000000,2019-11-13,2019-11-01 12:00:00.000000
"(2019-11-13 00:00:00, 2019-12-07 00:00:00]",1,0.0017833259028087382,2019-11-13 00:00:00.000000,2019-12-07,2019-11-25 00:00:00.000000
"(2019-12-07 00:00:00, 2020-01-08 00:00:00]",1,0.0,2019-12-07 00:00:00.000000,2020-01-08,2019-12-23 00:00:00.000000
"(2020-01-08 00:00:00, 2020-02-05 00:00:00]",1,0.0,2020-01-08 00:00:00.000000,2020-02-05,2020-01-22 00:00:00.000000
"(2020-02-05 00:00:00, 2020-02-28 00:00:00]",1,0.0017833259028087382,2020-02-05 00:00:00.000000,2020-02-28,2020-02-16 12:00:00.000000
"(2020-02-28 00:00:00, 2020-03-24 00:00:00]",1,0.001293103448275862,2020-02-28 00:00:00.000000,2020-03-24,2020-03-11 12:00:00.000000
"(2020-03-24 00:00:00, 2020-04-17 00:00:00]",1,0.0017444395987788923,2020-03-24 00:00:00.000000,2020-04-17,2020-04-05 00:00:00.000000
"(2020-04-17 00:00:00, 2020-05-08 00:00:00]",1,0.0012552301255230125,2020-04-17 00:00:00.000000,2020-05-08,2020-04-27 12:00:00.000000
"(2020-05-08 00:00:00, 2020-05-27 00:00:00]",1,0.000888494002665482,2020-05-08 00:00:00.000000,2020-05-27,2020-05-17 12:00:00.000000
"(2020-05-27 00:00:00, 2020-06-15 00:00:00]",1,0.0008514261387824606,2020-05-27 00:00:00.000000,2020-06-15,2020-06-05 12:00:00.000000
"(2020-06-15 00:00:00, 2020-07-03 00:00:00]",1,0.001274426508071368,2020-06-15 00:00:00.000000,2020-07-03,2020-06-24 00:00:00.000000
"(2020-07-03 00:00:00, 2020-07-22 00:00:00]",1,0.0004512635379061372,2020-07-03 00:00:00.000000,2020-07-22,2020-07-12 12:00:00.000000
"(2020-07-22 00:00:00, 2020-08-11 00:00:00]",1,0.0012881064834693002,2020-07-22 00:00:00.000000,2020-08-11,2020-08-01 00:00:00.000000
"(2020-08-11 00:00:00, 2020-08-28 00:00:00]",1,0.0013363028953229399,2020-08-11 00:00:00.000000,2020-08-28,2020-08-19 12:00:00.000000
"(2020-08-28 00:00:00, 2020-09-17 00:00:00]",1,0.0012505210504376823,2020-08-28 00:00:00.000000,2020-09-17,2020-09-07 00:00:00.000000
"(2020-09-17 00:00:00, 2020-10-06 00:00:00]",1,0.0009090909090909091,2020-09-17 00:00:00.000000,2020-10-06,2020-09-26 12:00:00.000000
"(2020-10-06 00:00:00, 2020-10-26 00:00:00]",1,0.0012728044123886295,2020-10-06 00:00:00.000000,2020-10-26,2020-10-16 00:00:00.000000
"(2020-10-26 00:00:00, 2020-11-14 00:00:00]",1,0.0012919896640826874,2020-10-26 00:00:00.000000,2020-11-14,2020-11-04 12:00:00.000000
"(2020-11-14 00:00:00, 2020-12-03 00:00:00]",1,0.001288659793814433,2020-11-14 00:00:00.000000,2020-12-03,2020-11-23 12:00:00.000000
"(2020-12-03 00:00:00, 2020-12-24 00:00:00]",1,0.0004385964912280702,2020-12-03 00:00:00.000000,2020-12-24,2020-12-13 12:00:00.000000
"(2020-12-24 00:00:00, 2021-01-19 00:00:00]",1,0.0,2020-12-24 00:00:00.000000,2021-01-19,2021-01-06 00:00:00.000000
"(2021-01-19 00:00:00, 2021-02-09 00:00:00]",1,0.0,2021-01-19 00:00:00.000000,2021-02-09,2021-01-29 12:00:00.000000
"(2021-02-09 00:00:00, 2021-02-28 00:00:00]",1,0.0,2021-02-09 00:00:00.000000,2021-02-28,2021-02-18 12:00:00.000000
"(2021-02-28 00:00:00, 2021-03-23 00:00:00]",1,0.0,2021-02-28 00:00:00.000000,2021-03-23,2021-03-11 12:00:00.000000
"(2021-03-23 00:00:00, 2021-06-08 00:00:00]",1,0.0,2021-03-23 00:00:00.000000,2021-06-08,2021-04-30 12:00:00.000000
"(2021-06-08 00:00:00, 2021-08-17 00:00:00]",1,0.0,2021-06-08 00:00:00.000000,2021-08-17,2021-07-13 00:00:00.000000
