model,topic_id,top_words
LDA,0,"cases, sydney, brisbane, workers, test, changes, million, western, rise, final"
LDA,1,"trump, testing, premier, biden, care, aged, donald, joe, president, take"
LDA,2,"after, victoria, health, south, two, people, year, melbourne, into, more"
LDA,3,"government, minister, scott, news, morrison, election, state, federal, announces, community"
LDA,4,"the, for, and, with, from, vaccine, records, are, how, out"
LDA,5,"national, one, coast, gold, positive, program, wins, charged, afl, system"
LDA,6,"nsw, lockdown, under, open, victorian, residents, trial, amid, local, change"
LDA,7,"covid, new, coronavirus, australia, says, queensland, australian, china, day, australias"
LDA,8,"over, restrictions, man, not, qld, court, christmas, was, who, travel"
LDA,9,"police, has, off, found, its, numbers, been, regional, but, india"
BERTopic,0,"cases, records, coronavirus, restrictions, victoria, covid, new, latest, border, nsw"
BERTopic,1,"bushfire, fire, bushfires, fires, firefighters, burning, emergency, burn, rfs, homes"
BERTopic,2,"afl, nrl, cricket, beat, final, test, ashes, scorecentre, tigers, roosters"
BERTopic,3,"drought, rain, cyclone, water, dam, flooding, bom, storms, weather, storm"
BERTopic,4,"vaccine, rollout, pfizer, vaccination, vaccines, tracking, vaccinated, vaccinations, australias, doses"
BERTopic,5,"sexual, sex, rape, child, assault, abuse, paedophile, guilty, murder, harassment"
BERTopic,6,"shark, whale, fish, whales, fishing, salmon, humpback, sharks, dolphin, menindee"
BERTopic,7,"cattle, dairy, farmers, milk, sheep, beef, farming, farmer, meat, farm"
BERTopic,8,"quarantine, hotel, inquiry, hotels, travellers, andrews, victoria, strain, guards, chancellor"
BERTopic,9,"hospital, ambulance, doctors, hospitals, health, doctor, surgery, private, elective, patient"
BERTopic,10,"art, artist, exhibition, artists, mural, gallery, fashion, museum, painting, indigenous"
BERTopic,11,"drum, wednesday, tuesday, thursday, monday, friday, october, january, november, july"
BERTopic,12,"finance, kohler, alan, lasker, phillip, tuesday, wednesday, monday, thursday, with"
BERTopic,13,"crash, driver, truck, fatal, killed, car, bus, crashes, pedestrian, highway"
BERTopic,14,"briefing, morning, tasmania, news, april, now, sydney, suez, thursday, canal"
BERTopic,15,"missing, search, found, boat, body, fisherman, boy, amber, capsized, disappearance"
BERTopic,16,"olympics, tokyo, olympic, games, athletes, ioc, marathon, paralympics, paralympic, record"
BERTopic,17,"election, federal, voting, campaign, voters, polls, seats, clive, palmer, vote"
